gene_id	transcript_id	baseline_score	baseline_rank	n_windows	top_window_k	best_window_region_type	best_window_inferred_region_type	topk_CDS_fraction	topk_UTR_fraction	topk_ncRNA_fraction	topk_unknown_fraction	topk_inferred_CDS_fraction	topk_inferred_UTR_fraction	topk_inferred_ncRNA_fraction	topk_inferred_unknown_fraction	topk_self_complementarity_score_mean	topk_inverted_repeat_score_mean	topk_simple_repeat_score_mean	topk_simple_repeat_penalty_score_mean	topk_reverse_complement_4mer_density_mean	topk_reverse_complement_5mer_density_mean	topk_reverse_complement_6mer_density_mean	topk_paired_architecture_score_mean	topk_stem_like_score_mean	topk_paired_run_density_mean	topk_max_local_paired_mean_31nt_mean	topk_max_local_paired_mean_41nt_mean	topk_max_local_paired_mean_81nt_mean	topk_longest_high_paired_run_mean	max_paired_architecture_score	fraction_high_paired_architecture_windows
LOC_Os06g08570	LOC_Os06g08570.1	0.9947681566666664	28	84	10	unknown	5UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5409983185817123	0.6015803558720527	0.0782112836219228	0.0782112836219228	0.6604060913705584	0.4020408163265306	0.2394871794871795	0.45201782456638817	0.482475593082304	0.42400000000000004	0.7618057427867766	0.7134267792469118	0.6163870104301122	12.4	0.5607570555325382	0.0
LOC_Os12g18374	LOC_Os12g18374.2	0.9947159833333332	29	139	10	unknown	3UTR	0.3	0.0	0.0	0.7	0.1	0.9	0.0	0.0	0.49082827388664957	0.5185850771142649	0.049896361317331196	0.049896361317331196	0.6522842639593909	0.35357142857142854	0.18769230769230769	0.47214482667771474	0.5095242649500932	0.48299999999999993	0.7700859298629145	0.7305727948502797	0.658140558813825	12.6	0.5782664736277228	0.0
LOC_Os08g26700	LOC_Os08g26700.3	0.9945477766666668	30	70	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.4963617675999837	0.4761082342273423	0.054263699637508225	0.054263699637508225	0.7208121827411167	0.36275510204081635	0.20256410256410257	0.48085247220728944	0.5132691432538072	0.5029999999999999	0.8140440573615411	0.7443074297614215	0.6572707581667253	11.7	0.5623077750713188	0.0
LOC_Os12g40560	LOC_Os12g40560.2	0.9944659533333334	31	99	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.43550866727081383	0.4534551883362615	0.06436112237089156	0.06436112237089156	0.6416243654822334	0.3387755102040816	0.16153846153846155	0.4389418539525529	0.4657417400619848	0.378	0.737412001625184	0.6917252201859545	0.6071626056859523	13.1	0.7003552259608279	0.1
LOC_Os04g47912	LOC_Os04g47912.1	0.9944586166666666	32	150	10	CDS	CDS	0.7	0.0	0.0	0.3	0.7	0.3	0.0	0.0	0.3601360891607447	0.3668629163752441	0.05743014417295533	0.05743014417295533	0.5456852791878173	0.2362244897959184	0.09743589743589742	0.4619586636067526	0.5027240436115885	0.44699999999999995	0.7615731147027784	0.7086721308347654	0.6053335141988446	14.1	0.49304207774525066	0.0
LOC_Os12g44310	LOC_Os12g44310.2	0.99432979	33	94	10	unknown	3UTR	0.1	0.0	0.0	0.9	0.1	0.9	0.0	0.0	0.5561011493208736	0.5878112584211206	0.05653698991490467	0.05653698991490467	0.7365482233502538	0.4525510204081633	0.2292307692307692	0.49884883299866106	0.540279281375854	0.513	0.8104576997218592	0.7853378441275621	0.6946178415675222	12.9	0.6078188531243276	0.1
LOC_Os10g38900	LOC_Os10g38900.1	0.9941917566666666	34	71	10	unknown	3UTR	0.2	0.0	0.0	0.8	0.0	1.0	0.0	0.0	0.4798908226573201	0.4876120779953267	0.0427659834692902	0.0427659834692902	0.6908629441624365	0.3571428571428571	0.16666666666666666	0.4463237385689417	0.47717321489496933	0.43450000000000005	0.7488076392681368	0.707019644684908	0.6155352718300289	11.6	0.5286630029691022	0.0
LOC_Os04g44354	LOC_Os04g44354.4	0.99413739	35	171	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5416113915116816	0.5633398837900289	0.06922206703542169	0.06922206703542169	0.7299492385786801	0.4290816326530612	0.21487179487179486	0.45849968543865993	0.5004242383949157	0.4525	0.7411279985981604	0.7187727151847467	0.624653845657537	13.2	0.5333639093842685	0.0
LOC_Os11g47870	LOC_Os11g47870.1	0.9940582	36	47	10	unknown	3UTR	0.6	0.0	0.0	0.4	0.4	0.6	0.0	0.0	0.5652674584871829	0.5853431309529932	0.04945010885468847	0.04945010885468847	0.6365482233502537	0.36683673469387756	0.21692307692307694	0.5299948616496528	0.5799504438745297	0.5325	0.8244681233359922	0.7998513316235892	0.7060163272015842	16.3	0.6244147399303893	0.3
LOC_Os07g01904	LOC_Os07g01904.1	0.9939823	37	92	10	unknown	5UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5148872974289944	0.571195785466634	0.06215684857534727	0.06215684857534727	0.6802030456852792	0.40102040816326534	0.2071794871794872	0.4350957518552194	0.47543842050505847	0.4205	0.7055449316578526	0.6658152615151753	0.5871659031620732	13.6	0.4795789798291436	0.0
LOC_Os09g19650	LOC_Os09g19650.1	0.9939776133333332	38	33	10	CDS	3UTR	0.7	0.0	0.0	0.3	0.6	0.4	0.0	0.0	0.43296532962051454	0.46988010070769315	0.04576334887071856	0.04576334887071856	0.6228426395939086	0.3086734693877551	0.14871794871794872	0.48998530137835805	0.5285647026310122	0.5199999999999999	0.7877433155813525	0.7556941078930366	0.6848203519244253	12.4	0.5295429046353192	0.0
LOC_Os05g12474	LOC_Os05g12474.2	0.99395775	39	82	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5596593485643523	0.5772655717180736	0.07834106460631024	0.07834106460631024	0.7416243654822334	0.4061224489795919	0.2046153846153846	0.4141152944085421	0.43796803060392053	0.396	0.7070024121192193	0.6654040918117616	0.6098374038566778	10.1	0.48358897978079046	0.0
LOC_Os06g02460	LOC_Os06g02460.1	0.99394272	40	25	10	unknown	3UTR	0.1	0.0	0.0	0.9	0.0	1.0	0.0	0.0	0.613583801609545	0.6813688238816955	0.07460547449022457	0.07460547449022457	0.732994923857868	0.4979591836734694	0.3384615384615385	0.5093195161827591	0.5549268885104637	0.493	0.8161870600715758	0.781780665531391	0.6732800263681529	15.6	0.6596238288425937	0.2
