candidate_name	family	module_variant	region_mode	top_window_k	beta_region	beta_repeat	beta_hairpin	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue
rbp_trace_v2_score_repeat__self_complementarity_minus_simple_repeat_penalty__k_3__beta_0.1	self_complementarity	self_complementarity_minus_simple_repeat_penalty		3		0.1		200	55382	283	12	0.06	0.04240282685512368	1.0219927052110793	11.741766784452297	6.537468874055962e-10
rbp_trace_v2_score_repeat__self_complementarity_minus_simple_repeat_penalty__k_3__beta_0.1	self_complementarity	self_complementarity_minus_simple_repeat_penalty		3		0.1		500	55382	283	23	0.046	0.0812720848056537	2.5549817630276985	9.002021201413427	2.5164829870845757e-15
rbp_trace_v2_score_repeat__self_complementarity_minus_simple_repeat_penalty__k_3__beta_0.1	self_complementarity	self_complementarity_minus_simple_repeat_penalty		3		0.1		1000	55382	283	32	0.032	0.11307420494699646	5.109963526055397	6.2622756183745585	2.397447180209943e-16
rbp_trace_v2_score_paired_architecture__k_3__beta_0.1	paired_architecture	paired_architecture		3			0.1	50	55382	283	6	0.12	0.02120141342756184	0.25549817630276983	23.483533568904594	2.2213822812605664e-07
rbp_trace_v2_score_paired_architecture__k_3__beta_0.1	paired_architecture	paired_architecture		3			0.1	100	55382	283	18	0.18	0.0636042402826855	0.5109963526055397	35.22530035335689	6.881515553712525e-23
rbp_trace_v2_score_paired_architecture__k_3__beta_0.1	paired_architecture	paired_architecture		3			0.1	200	55382	283	24	0.12	0.08480565371024736	1.0219927052110793	23.483533568904594	1.0758416336875782e-25
rbp_trace_v2_score_paired_architecture__k_3__beta_0.1	paired_architecture	paired_architecture		3			0.1	500	55382	283	38	0.076	0.13427561837455831	2.5549817630276985	14.872904593639577	1.383771795713402e-32
rbp_trace_v2_score_paired_architecture__k_3__beta_0.1	paired_architecture	paired_architecture		3			0.1	1000	55382	283	48	0.048	0.1696113074204947	5.109963526055397	9.393413427561837	7.037724790867853e-32
rbp_trace_v2_score_region__explicit__k_3__beta_0.25	region		explicit	3	0.25			50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
rbp_trace_v2_score_region__explicit__k_3__beta_0.25	region		explicit	3	0.25			100	55382	283	7	0.07	0.024734982332155476	0.5109963526055397	13.698727915194347	9.012753656072744e-07
rbp_trace_v2_score_region__explicit__k_3__beta_0.25	region		explicit	3	0.25			200	55382	283	14	0.07	0.04946996466431095	1.0219927052110793	13.698727915194347	3.030117683160773e-12
rbp_trace_v2_score_region__explicit__k_3__beta_0.25	region		explicit	3	0.25			500	55382	283	30	0.06	0.10600706713780919	2.5549817630276985	11.741766784452297	6.550458281301019e-23
rbp_trace_v2_score_region__explicit__k_3__beta_0.25	region		explicit	3	0.25			1000	55382	283	53	0.053	0.1872791519434629	5.109963526055397	10.371893992932863	2.307630166827326e-37
rbp_trace_v2_score_region__inferred__k_3__beta_0.25	region		inferred	3	0.25			50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
rbp_trace_v2_score_region__inferred__k_3__beta_0.25	region		inferred	3	0.25			100	55382	283	7	0.07	0.024734982332155476	0.5109963526055397	13.698727915194347	9.012753656072744e-07
