label	seed	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue	score_family	selected_candidate
rbp_trace_v2_score_all_context	1289457136	1000	55382	85	13	0.013	0.15294117647058825	1.5347946986385468	8.470188235294119	4.474962031553135e-09	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.5
rbp_trace_v2_score_region	1889382247	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_region	1889382247	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_region	1889382247	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_region	1889382247	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_region	1889382247	1000	55382	85	19	0.019	0.2235294117647059	1.5347946986385468	12.379505882352941	8.815900966876997e-16	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_repeat	1889382247	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	1889382247	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	1889382247	200	55382	85	4	0.02	0.047058823529411764	0.3069589397277094	13.031058823529412	0.00026585296744680183	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	1889382247	500	55382	85	6	0.012	0.07058823529411765	0.7673973493192734	7.818635294117647	0.00012580221791490557	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	1889382247	1000	55382	85	16	0.016	0.18823529411764706	1.5347946986385468	10.424847058823529	2.7913285098061328e-12	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_hairpin	1889382247	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.5
rbp_trace_v2_score_hairpin	1889382247	100	55382	85	4	0.04	0.047058823529411764	0.1534794698638547	26.062117647058823	1.810712769027053e-05	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.5
rbp_trace_v2_score_hairpin	1889382247	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.5
rbp_trace_v2_score_hairpin	1889382247	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.5
rbp_trace_v2_score_hairpin	1889382247	1000	55382	85	11	0.011	0.12941176470588237	1.5347946986385468	7.1670823529411765	3.9813967814760067e-07	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.5
rbp_trace_v2_score_all_context	1889382247	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.5
rbp_trace_v2_score_all_context	1889382247	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.5
rbp_trace_v2_score_all_context	1889382247	200	55382	85	6	0.03	0.07058823529411765	0.3069589397277094	19.546588235294116	7.096701621300616e-07	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.5
rbp_trace_v2_score_all_context	1889382247	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.5
rbp_trace_v2_score_all_context	1889382247	1000	55382	85	15	0.015	0.17647058823529413	1.5347946986385468	9.773294117647058	3.539891612987571e-11	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.5
rbp_trace_v2_score_region	800250632	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_region	800250632	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_region	800250632	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_region	800250632	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_region	800250632	1000	55382	85	12	0.012	0.1411764705882353	1.5347946986385468	7.818635294117647	4.4219732872074625e-08	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_repeat	800250632	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	800250632	100	55382	85	0	0.0	0.0	0.1534794698638547	0.0	1.0	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	800250632	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	800250632	500	55382	85	10	0.02	0.11764705882352941	0.7673973493192734	13.031058823529412	5.621894708032004e-09	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	800250632	1000	55382	85	16	0.016	0.18823529411764706	1.5347946986385468	10.424847058823529	2.7913285098061328e-12	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_hairpin	800250632	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.25
rbp_trace_v2_score_hairpin	800250632	100	55382	85	5	0.05	0.058823529411764705	0.1534794698638547	32.57764705882353	5.074337816477653e-07	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.25
rbp_trace_v2_score_hairpin	800250632	200	55382	85	6	0.03	0.07058823529411765	0.3069589397277094	19.546588235294116	7.096701621300616e-07	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.25
rbp_trace_v2_score_hairpin	800250632	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.25
rbp_trace_v2_score_hairpin	800250632	1000	55382	85	14	0.014	0.16470588235294117	1.5347946986385468	9.121741176470588	4.148628118290772e-10	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.25
rbp_trace_v2_score_all_context	800250632	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_1.0
rbp_trace_v2_score_all_context	800250632	100	55382	85	5	0.05	0.058823529411764705	0.1534794698638547	32.57764705882353	5.074337816477653e-07	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_1.0
rbp_trace_v2_score_all_context	800250632	200	55382	85	7	0.035	0.08235294117647059	0.3069589397277094	22.804352941176468	2.8036287197230294e-08	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_1.0
rbp_trace_v2_score_all_context	800250632	500	55382	85	10	0.02	0.11764705882352941	0.7673973493192734	13.031058823529412	5.621894708032004e-09	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_1.0
rbp_trace_v2_score_all_context	800250632	1000	55382	85	13	0.013	0.15294117647058825	1.5347946986385468	8.470188235294119	4.474962031553135e-09	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_1.0
rbp_trace_v2_score_region	1539420525	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_region	1539420525	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_region	1539420525	200	55382	85	4	0.02	0.047058823529411764	0.3069589397277094	13.031058823529412	0.00026585296744680183	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_region	1539420525	500	55382	85	7	0.014	0.08235294117647059	0.7673973493192734	9.121741176470588	1.2608221543409588e-05	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_region	1539420525	1000	55382	85	11	0.011	0.12941176470588237	1.5347946986385468	7.1670823529411765	3.9813967814760067e-07	rbp_trace_v2_score_region	rbp_trace_v2_score_region__beta_0.1
rbp_trace_v2_score_repeat	1539420525	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	1539420525	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	1539420525	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	1539420525	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	1539420525	1000	55382	85	14	0.014	0.16470588235294117	1.5347946986385468	9.121741176470588	4.148628118290772e-10	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_hairpin	1539420525	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.1
rbp_trace_v2_score_hairpin	1539420525	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.1
rbp_trace_v2_score_hairpin	1539420525	200	55382	85	4	0.02	0.047058823529411764	0.3069589397277094	13.031058823529412	0.00026585296744680183	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.1
rbp_trace_v2_score_hairpin	1539420525	500	55382	85	6	0.012	0.07058823529411765	0.7673973493192734	7.818635294117647	0.00012580221791490557	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.1
rbp_trace_v2_score_hairpin	1539420525	1000	55382	85	14	0.014	0.16470588235294117	1.5347946986385468	9.121741176470588	4.148628118290772e-10	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.1
rbp_trace_v2_score_all_context	1539420525	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_0.25
rbp_trace_v2_score_all_context	1539420525	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_0.25
rbp_trace_v2_score_all_context	1539420525	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_0.25
rbp_trace_v2_score_all_context	1539420525	500	55382	85	10	0.02	0.11764705882352941	0.7673973493192734	13.031058823529412	5.621894708032004e-09	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_0.25
rbp_trace_v2_score_all_context	1539420525	1000	55382	85	15	0.015	0.17647058823529413	1.5347946986385468	9.773294117647058	3.539891612987571e-11	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_0.25
