seed	objective	selected_score_name	selected_aggregation	top200_overlap	top200_fold	top200_hypergeom	top500_overlap	top500_hypergeom	top1000_overlap	top1000_hypergeom	weighted_top200_500_1000	n_calibration_truth	n_heldout_truth
800250632	weighted_top200_500_1000	inverted_base_motif_structure_score	top5_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	21.0	1.9547727806466843e-16	36.0	2.5146953948550237e-25	14.483525310601767	198	85
800250632	top500_hypergeom	inverted_base_motif_structure_score	top5_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	21.0	1.9547727806466843e-16	36.0	2.5146953948550237e-25	14.483525310601767	198	85
800250632	top1000_hypergeom	inverted_base_motif_structure_score	top5_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	21.0	1.9547727806466843e-16	36.0	2.5146953948550237e-25	14.483525310601767	198	85
1539420525	top200_overlap	structure_only_score	max_score	13.0	18.180959595959596	5.156837834697902e-13	17.0	4.595856023183095e-12	20.0	7.173331524853028e-10	11.373954157730125	198	85
1539420525	top200_hypergeom	structure_only_score	max_score	13.0	18.180959595959596	5.156837834697902e-13	17.0	4.595856023183095e-12	20.0	7.173331524853028e-10	11.373954157730125	198	85
1539420525	top200_fold	structure_only_score	max_score	13.0	18.180959595959596	5.156837834697902e-13	17.0	4.595856023183095e-12	20.0	7.173331524853028e-10	11.373954157730125	198	85
1539420525	weighted_top200_500_1000	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	37.0	1.9520742027996368e-26	14.366402100453412	198	85
1539420525	top500_hypergeom	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	37.0	1.9520742027996368e-26	14.366402100453412	198	85
1539420525	top1000_hypergeom	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	37.0	1.9520742027996368e-26	14.366402100453412	198	85
1778277625	top200_overlap	inverted_base_score	top3_mean_score	12.0	16.78242424242424	1.058738683901139e-11	21.0	1.9547727806466843e-16	24.0	2.8076545168817306e-13	12.710607991014147	198	85
1778277625	top200_hypergeom	inverted_base_score	top3_mean_score	12.0	16.78242424242424	1.058738683901139e-11	21.0	1.9547727806466843e-16	24.0	2.8076545168817306e-13	12.710607991014147	198	85
1778277625	top200_fold	inverted_base_score	top3_mean_score	12.0	16.78242424242424	1.058738683901139e-11	21.0	1.9547727806466843e-16	24.0	2.8076545168817306e-13	12.710607991014147	198	85
1778277625	weighted_top200_500_1000	inverted_base_motif_structure_score	top10_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	35.0	3.1297905079413042e-24	13.925398311070726	198	85
1778277625	top500_hypergeom	inverted_base_score	top3_mean_score	12.0	16.78242424242424	1.058738683901139e-11	21.0	1.9547727806466843e-16	24.0	2.8076545168817306e-13	12.710607991014147	198	85
1778277625	top1000_hypergeom	inverted_base_motif_structure_score	top10_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	35.0	3.1297905079413042e-24	13.925398311070726	198	85
1624446027	top200_overlap	inverted_base_motif_structure_score	top5_mean_score	12.0	16.78242424242424	1.058738683901139e-11	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	14.13326962787133	198	85
1624446027	top200_hypergeom	inverted_base_motif_structure_score	top5_mean_score	12.0	16.78242424242424	1.058738683901139e-11	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	14.13326962787133	198	85
1624446027	top200_fold	inverted_base_motif_structure_score	top5_mean_score	12.0	16.78242424242424	1.058738683901139e-11	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	14.13326962787133	198	85
