seed	label	split_name	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue	model_name
1539420525	logistic_l2	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	logistic_l2
1539420525	logistic_l2	heldout	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	logistic_l2
1539420525	logistic_l2	heldout	1000	55382	85	10	0.01	0.11764705882352941	1.5347946986385468	6.515529411764706	3.245648476373267e-06	logistic_l2
1539420525	logistic_elasticnet	calibration	50	55382	198	3	0.06	0.015151515151515152	0.1787584413708425	16.78242424242424	0.0007794496324364642	logistic_elasticnet
1539420525	logistic_elasticnet	calibration	100	55382	198	7	0.07	0.03535353535353535	0.357516882741685	19.57949494949495	8.111382016641936e-08	logistic_elasticnet
1539420525	logistic_elasticnet	calibration	200	55382	198	11	0.055	0.05555555555555555	0.71503376548337	15.383888888888889	1.9865406411345842e-10	logistic_elasticnet
1539420525	logistic_elasticnet	calibration	500	55382	198	25	0.05	0.12626262626262627	1.7875844137084251	13.985353535353536	3.497356615639897e-21	logistic_elasticnet
1539420525	logistic_elasticnet	calibration	1000	55382	198	32	0.032	0.16161616161616163	3.5751688274168503	8.950626262626262	4.87116976059401e-21	logistic_elasticnet
1539420525	logistic_elasticnet	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	logistic_elasticnet
1539420525	logistic_elasticnet	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	logistic_elasticnet
1539420525	logistic_elasticnet	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	logistic_elasticnet
1539420525	logistic_elasticnet	heldout	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	logistic_elasticnet
1539420525	logistic_elasticnet	heldout	1000	55382	85	11	0.011	0.12941176470588237	1.5347946986385468	7.1670823529411765	3.9813967814760067e-07	logistic_elasticnet
1778277625	logistic_l2	calibration	50	55382	198	1	0.02	0.005050505050505051	0.1787584413708425	5.594141414141414	0.16402632991152752	logistic_l2
1778277625	logistic_l2	calibration	100	55382	198	2	0.02	0.010101010101010102	0.357516882741685	5.594141414141414	0.05010366622281267	logistic_l2
1778277625	logistic_l2	calibration	200	55382	198	8	0.04	0.04040404040404041	0.71503376548337	11.188282828282828	7.102170742175267e-07	logistic_l2
1778277625	logistic_l2	calibration	500	55382	198	15	0.03	0.07575757575757576	1.7875844137084251	8.39121212121212	4.850136187818098e-10	logistic_l2
1778277625	logistic_l2	calibration	1000	55382	198	27	0.027	0.13636363636363635	3.5751688274168503	7.552090909090909	4.735495398005706e-16	logistic_l2
1778277625	logistic_l2	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	logistic_l2
1778277625	logistic_l2	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	logistic_l2
