seed	label	split_name	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue	score_name	aggregation	objective
1539420525	inverted_base_motif_structure_score__top3_mean_score	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1539420525	inverted_base_motif_structure_score__top3_mean_score	heldout	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1539420525	inverted_base_motif_structure_score__top3_mean_score	heldout	1000	55382	85	11	0.011	0.12941176470588237	1.5347946986385468	7.1670823529411765	3.9813967814760067e-07	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1778277625	inverted_base_motif_structure_score__top3_mean_score	heldout	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1778277625	inverted_base_motif_structure_score__top3_mean_score	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1778277625	inverted_base_motif_structure_score__top3_mean_score	heldout	200	55382	85	8	0.04	0.09411764705882353	0.3069589397277094	26.062117647058823	9.53159274910495e-10	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1778277625	inverted_base_motif_structure_score__top3_mean_score	heldout	500	55382	85	11	0.022	0.12941176470588237	0.7673973493192734	14.334164705882353	3.4057139975216167e-10	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1778277625	inverted_base_motif_structure_score__top3_mean_score	heldout	1000	55382	85	20	0.02	0.23529411764705882	1.5347946986385468	13.031058823529412	5.233586345763059e-17	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1624446027	inverted_base_motif_structure_score__top3_mean_score	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1624446027	inverted_base_motif_structure_score__top3_mean_score	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1624446027	inverted_base_motif_structure_score__top3_mean_score	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1624446027	inverted_base_motif_structure_score__top3_mean_score	heldout	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1624446027	inverted_base_motif_structure_score__top3_mean_score	heldout	1000	55382	85	14	0.014	0.16470588235294117	1.5347946986385468	9.121741176470588	4.148628118290772e-10	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1797759645	inverted_base_motif_structure_score__top3_mean_score	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1797759645	inverted_base_motif_structure_score__top3_mean_score	heldout	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1797759645	inverted_base_motif_structure_score__top3_mean_score	heldout	200	55382	85	2	0.01	0.023529411764705882	0.3069589397277094	6.515529411764706	0.03809108791724583	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1797759645	inverted_base_motif_structure_score__top3_mean_score	heldout	500	55382	85	12	0.024	0.1411764705882353	0.7673973493192734	15.637270588235294	1.8639910687386197e-11	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1797759645	inverted_base_motif_structure_score__top3_mean_score	heldout	1000	55382	85	18	0.018	0.21176470588235294	1.5347946986385468	11.72795294117647	1.3888759226249115e-14	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
748698052	inverted_base_motif_structure_score__top3_mean_score	heldout	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
748698052	inverted_base_motif_structure_score__top3_mean_score	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
748698052	inverted_base_motif_structure_score__top3_mean_score	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
748698052	inverted_base_motif_structure_score__top3_mean_score	heldout	500	55382	85	10	0.02	0.11764705882352941	0.7673973493192734	13.031058823529412	5.621894708032004e-09	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
748698052	inverted_base_motif_structure_score__top3_mean_score	heldout	1000	55382	85	16	0.016	0.18823529411764706	1.5347946986385468	10.424847058823529	2.7913285098061328e-12	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
